"artist","name","song","person","sentence","year","highestRank"
"2Pac","Baby","I Get Around",TRUE,"Baby doll, check it out, I get around","1993","11"
"2Pac","Heaven","I Wonder If Heaven Got A Ghetto",FALSE,"I wonder if Heaven got a ghetto","1997","67"
"2Pac","Rodney","I Wonder If Heaven Got A Ghetto",TRUE,"Ask Rodney, LaTasha, and many more","1997","67"
"2Pac","Corinne","Keep Ya Head Up",TRUE,"Little somethin' for my godson Elijah and a little girl named Corinne","1993","12"
"2Pac","Elijah","Keep Ya Head Up",TRUE,"Little somethin' for my godson Elijah and a little girl named Corinne","1993","12"
"2Pac","Marvin","Keep Ya Head Up",TRUE,"Aiyyo, I remember Marvin Gaye, used to sing to me","1993","12"
"2Pac","Heaven","So Many Tears",FALSE,"To Heaven's door, shed so many tears","1995","44"
"2Pac","Billie","Thugz Mansion",TRUE,"Then some lady named Billie Holiday sang sittin' there kickin' it with Malcolm, 'til the day came","2002","19"
"2Pac","Jackie","Thugz Mansion",TRUE,"it had me shook drippin' peppermint Schnapps, with Jackie Wilson, and Sam Cooke","2002","19"
"2Pac","Malcolm","Thugz Mansion",TRUE,"Then some lady named Billie Holiday sang sittin' there kickin' it with Malcolm, 'til the day came","2002","19"
"2Pac","Marvin","Thugz Mansion",TRUE,"Seen a show with Marvin Gaye last night,","2002","19"
"2Pac","Miles","Thugz Mansion",TRUE,"When Miles Davis cuttin' lose with the band","2002","19"
"2Pac","Sam","Thugz Mansion",TRUE,"it had me shook drippin' peppermint Schnapps, with Jackie Wilson, and Sam Cooke","2002","19"
"2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch","Allen","Runnin'",TRUE,"Hit the hole like Allen Iverson with confidence","1997","81"
"30 Seconds To Mars","Heaven","Kings And Queens",FALSE,"Heaven and hell","2009","88"
"3OH!3","Helen","Don't Trust Me",TRUE,"Do the Helen Keller and talk with your hips.","2009","7"
"3OH!3","Helen","Dont Trust Me",TRUE,"Do the Helen Keller and talk with your hips.","2008","99"
"3OH!3","Baby","Set You Free",TRUE,"Baby","2012","84"
"3OH!3","Daisy","Starstrukk",TRUE,"Daisy Dukes,","2009","95"
"3OH!3 Featuring Katy Perry","Daisy","Starstrukk",TRUE,"Daisy Dukes,","2009","66"
"3OH!3 Featuring Ke$ha","Baby","My First Kiss",TRUE,"Baby, this is it","2010","9"
"3rd Bass","Cali","Pop Goes The Weasel",FALSE,"Aiyyo, I came from Cali, and they hooped it, they hooped it","1991","29"
"3rd Bass","Pete","Pop Goes The Weasel",TRUE,"Hey yo, Pete Nice, rip the mic and go for yours","1991","29"
"3rd Bass","Sam","Pop Goes The Weasel",TRUE,"Get a disc or tape, at Sam Goody","1991","29"
"3T","Baby","Anything",TRUE,"Baby, there's nothing in this world I wouldn't do","1995","15"
"5 Seconds Of Summer","Heaven","Everything I Didn't Say",FALSE,"Heaven is a place on earth","2014","24"
"5 Seconds Of Summer","London","Fly Away",FALSE,"With a little bit of London sky","2015","100"
"50 Cent","Bentley","Disco Inferno",FALSE,"Homie you can catch me swooping Bentley coupin'","2004","3"
"50 Cent","Don","Disco Inferno",FALSE,"You mix a lil' cris wit' a lil Don Perion","2004","3"
"50 Cent","Bentley","Get Up",FALSE,"You got a Bentley","2008","44"
"50 Cent","Mike","Get Up",TRUE,"Since Mike made Thriller and Prince made Purple Rain","2008","44"
"50 Cent","Prince","Get Up",TRUE,"Since Mike made Thriller and Prince made Purple Rain","2008","44"
"50 Cent","Rick","Get Up",TRUE,"Rick James would have said she a brick house","2008","44"
"50 Cent","Rose","I Get It In",FALSE,"A little bit of Moet, bottles of the Rose","2009","53"
"50 Cent","Don","I Get Money",TRUE,"Like a Teflon Don, boy, I run New York","2007","20"
"50 Cent","Enzo","I Get Money",TRUE,"First it was the Benzo, now I'm in the Enzo","2007","20"
"50 Cent","Mac","I Get Money",TRUE,"9 shells, Mac-10, \who wanna get it cracking?\""""","2007","20"
"50 Cent","Rocky","I Get Money",TRUE,"I come up out the jeweler, they calling me Rocky","2007","20"
"50 Cent","Peter","If I Can't",TRUE,"Now Peter Piper picked peppers and don't rock rhymes","2003","76"
"50 Cent","Louis","Outlaw",FALSE,"Off with the Gucci, down go my Louis","2011","87"
"50 Cent","Niki","P.I.M.P.",TRUE,"Now Niki my bottom bitch, she always come up with my bread","2003","3"
"50 Cent","Bentley","Piggy Bank",FALSE,"You know me, black on black Bentley, big ol' black 9","2005","88"
"50 Cent","Buck","Piggy Bank",TRUE,"Banks' shit, sells, Buck's shit, sells","2005","88"
"50 Cent","Cali","Piggy Bank",FALSE,"I mean like way out in Cali niggas know you, cuz","2005","88"
"50 Cent","Jada","Piggy Bank",TRUE,"Jada don't fuck with me if you want to eat","2005","88"
"50 Cent","Jay","Piggy Bank",TRUE,"Cause I'll do your little ass like Jay did Mobb Deep","2005","88"
"50 Cent","Kim","Piggy Bank",TRUE,"Freak bitch look like Kim before the surgery","2005","88"
"50 Cent","Michael","Piggy Bank",TRUE,"It's an emergency, when Michael Jackson see","2005","88"
"50 Cent","Al","The Invitation",TRUE,"When Al blew Black away I had 'em on some stupid shit","2009","97"
"50 Cent","Jada","Window Shopper",TRUE,"Jada you's a window shopper","2005","20"
"50 Cent","Joe","Window Shopper",TRUE,"Joe you's a window shopper","2005","20"
"50 Cent Featuring Dr. Dre & Alicia Keys","Miller","New Day",FALSE,"When I was feeling like Miller Lite and Ol' E","2012","79"
"50 Cent Featuring Eminem & Adam Levine","Buck","My Life",TRUE,"Right in my face, so Game and Buck, both can suck a dick","2012","27"
"50 Cent Featuring Eminem & Adam Levine","Michael","My Life",TRUE,"Psycho killer, Michael Myers, I'm on fire like a lighter","2012","27"
"50 Cent Featuring Nate Dogg","Bentley","21 Questions",FALSE,"Could you love me in a Bentley?","2003","1"
"504 Boyz","Jay","Wobble Wobble",TRUE,"Yo', this Jay-tweezie","2000","17"
"69 Boyz","Carolina","Woof Woof",FALSE,"And for my dogs in North Carolina","1998","31"
"69 Boyz","Dakota","Woof Woof",FALSE,"This is for my dogs in Dakota","1998","31"
"69 Boyz","Virginia","Woof Woof",FALSE,"This for the dogs in Virginia","1998","31"
"702","Baby","Get It Together",TRUE,"Baby, please listen to me.","1997","10"
"702","Joe","Steelo",TRUE,"Word to mommy I like Joe but he's sloppy, dag","1996","32"
"702","Michael","Steelo",TRUE,"Ask Michael Jackson who bad,","1996","32"
"98 Degrees","Baby","Invisible Man",TRUE,"Baby, to you all I am is the invisible man","1997","12"
"A Flock Of Seagulls","Aurora","I Ran (So Far Away)",FALSE,"Aurora Borealis comes in view","1982","9"
"A Tribe Called Quest","Brooklyn","Award Tour",FALSE,"I'm taking it to Brooklyn side","1993","47"
"A Tribe Called Quest","Buddy","Award Tour",TRUE,"Buddy, buddy, buddy all up in your face","1993","47"
"A Tribe Called Quest","Dallas","Award Tour",FALSE,"Houston, Delaware, DC, Dallas","1993","47"
"A Tribe Called Quest","Fran","Award Tour",FALSE,"Oaktown, L.A., San Fran, St. John","1993","47"
"A Tribe Called Quest","Houston","Award Tour",FALSE,"Houston, Delaware, DC, Dallas","1993","47"
"A Tribe Called Quest","John","Award Tour",FALSE,"Oaktown, L.A., San Fran, St. John","1993","47"
"A Tribe Called Quest","London","Award Tour",FALSE,"Chinatown, Spokane, London,","1993","47"
"A Tribe Called Quest","Mario","Award Tour",TRUE,"See, lyrically I'm Mario Andretti on the mo-mo","1993","47"
"A Tribe Called Quest","Muhammad","Award Tour",TRUE,"We on Award Tour with Muhammad my man","1993","47"
"A Tribe Called Quest","Madeline","Electric Relaxation (Relax Yourself Girl)",TRUE,"But hon, you got the goods, like Madeline Woods","1994","65"
"A Tribe Called Quest","Martin","Find A Way",TRUE,"Teasing me, just like Tisha, did Martin","1998","71"
"A Tribe Called Quest","Tisha","Find A Way",TRUE,"Teasing me, just like Tisha, did Martin","1998","71"
"A Tribe Called Quest","Muhammad","We The People....",TRUE,"Shaheed Muhammad cut it with precision","2016","77"
"A Tribe Called Quest","Tony","We The People....",TRUE,"Like Tony Romo when he hitting Witten","2016","77"
"A+","Craig","Enjoy Yourself",TRUE,"Rhymes amazin, makin Craig Mack faces","1998","63"
"Aaliyah","Baby","Age Ain't Nothing But A Number",TRUE,"Baby Come here","1995","75"
"Aaliyah","Aaliyah","Are You That Somebody?",TRUE,"Baby girl, better known as Aaliyah","1998","21"
"Aaliyah","Baby","Are You That Somebody?",TRUE,"Baby girl, better known as Aaliyah","1998","21"
"Aaliyah","Baby","Come Over",TRUE,"Baby, I want to come see you","2003","32"
"Aaliyah","Baby","I Care 4 U",TRUE,"Baby you need a girl like me","2002","16"
"Aaliyah","Aaliyah","If Your Girl Only Knew",TRUE,"Aaliyah, sing","1996","11"
"Aaliyah","Baby","Miss You",TRUE,"Baby do you understand me","2002","3"
"Aaliyah","Bonnie","More Than A Woman",TRUE,"We can be like Bonnie &amp; Clyde","2002","25"
"Aaliyah","Clyde","More Than A Woman",TRUE,"We can be like Bonnie &amp; Clyde","2002","25"
"Aaliyah","Baby","Rock The Boat",TRUE,"Baby stroke it I want you for me","2001","14"
"Aaliyah Featuring Timbaland","Baby","We Need A Resolution",TRUE,"Baby let me know, you'll let me know","2001","59"
"Aaron Carter","Aaron","Aaron's Party (Come Get It)",TRUE,"Aaron C's in the house, come on","2000","35"
"Aaron Carter","Jo","Aaron's Party (Come Get It)",TRUE,"It's a Friday night have you seen Aunt Jo","2000","35"
"Aaron Carter","Aaron","That's How I Beat Shaq",TRUE,"Aaron's in the house","2001","96"
"Aaron Carter","Shaquille","That's How I Beat Shaq",TRUE,"It was Shaquille O'Neal","2001","96"
"Aaron Lewis Featuring George Jones & Charlie Daniels","Hank","Country Boy",TRUE,"Cause Hank taught me just how to stay alive","2011","87"
"Aaron Neville","Baby","Can't Stop My Heart From Loving You (The Rain Song)",TRUE,"Baby, you're just wastin' your time","1995","99"
"Aaron Neville","Baby","Don't Take Away My Heaven",TRUE,"Baby, please","1993","56"
"Aaron Neville","Baby","Everybody Plays The Fool",TRUE,"Baby, listen to this","1991","8"
"Aaron Neville","Baby","Tell It Like It Is",TRUE,"Baby, my time is too expensive","1966","2"
"ABBA","Fernando","Fernando",TRUE,"Can you hear the drums Fernando","1976","13"
"ABBA","Napoleon","Waterloo",TRUE,"At Waterloo Napoleon did surrender","1974","6"
"ABC","Martin","The Look Of Love (Part One)",TRUE,"They say, \Martin maybe one day you'll find true love\""""","1982","18"
"ABC","James","When Smokey Sings",TRUE,"James screams","1987","5"
"ABC","Luther","When Smokey Sings",TRUE,"Luther croons","1987","5"
"ABC","Marvin","When Smokey Sings",TRUE,"Marvin was the only innovator","1987","5"
"Ace Hood","Marley","Hustle Hard",TRUE,"Old kimosabe homie's chiefing cause I'm Marley","2011","60"
"Ace Hood","Mercedes","Hustle Hard",FALSE,"Two door coupe Mercedes","2011","60"
"Ace Hood Featuring Chris Brown","Ace","Body 2 Body",TRUE,"Yeah, Ace Hood","2011","65"
"Ace Hood Featuring Chris Brown","Baby","Body 2 Body",TRUE,"Baby, you don't have to try to read my mind","2011","65"
"Ace Hood Featuring Chris Brown","Chanel","Body 2 Body",FALSE,"Was that Chanel 5?","2011","65"
"Ace Hood Featuring Future & Rick Ross","Ace","Bugatti",TRUE,"Ace","2013","33"
"Ace Hood Featuring Future & Rick Ross","Kobe","Bugatti",TRUE,"Ballin' on niggas like Kobe","2013","33"
"Ace Hood Featuring Future & Rick Ross","Ricky","Bugatti",TRUE,"Ricky Rozay and Ace","2013","33"
"Ace Hood Featuring Future & Rick Ross","Royce","Bugatti",FALSE,"Is all they taking, finger prints on the Rolls Royce","2013","33"
"Ace Of Base","Baby","Don't Turn Around",TRUE,"Baby don't turn around","1994","4"
"Action Bronson Featuring Chance The Rapper","Ben","Baby Blue",TRUE,"I hope it's Ben and Socrates poop all up in your kitchen","2015","91"
"Action Bronson Featuring Chance The Rapper","Delilah","Baby Blue",TRUE,"Cut my losses, how Delilah changed my locks to a fade","2015","91"
"Adam Lambert","Winter","Better Than I Know Myself",FALSE,"Winter night","2012","76"
"Adam Lambert","Baby","For Your Entertainment",TRUE,"Baby, don't be afraid","2009","61"
"Adam Lambert","Elvis","Ghost Town",TRUE,"Tonight, Elvis is dead","2015","64"
"Adam Lambert","James","Ghost Town",TRUE,"In God and James Dean","2015","64"
"Adam Lambert","Jesus","One",TRUE,"Have you come here to play Jesus to the lepers in your head?","2009","82"
"Adam Lambert","Baby","Time For Miracles",TRUE,"Baby you know that","2009","50"
"Adam Sandler","Abby","The Chanukah Song",TRUE,"We got Ann Landers and her sister Dear Abby","1999","80"
"Adam Sandler","Ann","The Chanukah Song",TRUE,"We got Ann Landers and her sister Dear Abby","1999","80"
"Adam Sandler","Arthur","The Chanukah Song",TRUE,"Bowser form Sha Na Na and Arthur Fonzerelli","1999","80"
"Adam Sandler","David","The Chanukah Song",TRUE,"David Lee Roth lights the menorah","1999","80"
"Adam Sandler","Dinah","The Chanukah Song",TRUE,"So do Kirk Douglas, James Caan and the late Dinah Shore-ah","1999","80"
"Adam Sandler","Harrison","The Chanukah Song",TRUE,"Harrison Ford's and quarter Jewish- not to shabby","1999","80"
"Adam Sandler","James","The Chanukah Song",TRUE,"So do Kirk Douglas, James Caan and the late Dinah Shore-ah","1999","80"
"Adam Sandler","Kirk","The Chanukah Song",TRUE,"So do Kirk Douglas, James Caan and the late Dinah Shore-ah","1999","80"
"Adam Sandler","Paul","The Chanukah Song",TRUE,"Paul Newman's half Jewish, Glodie Hawn's half too","1999","80"
"Adam Sandler","Rod","The Chanukah Song",TRUE,"But guess who is hall of famer Rod Carew- he converted","1999","80"
"Adam Sandler","Tom","The Chanukah Song",TRUE,"Tom Cruise isn't but I heard his agent is","1999","80"
"Adam Sandler","Veronica","The Chanukah Song",TRUE,"Tell your friend Veronica","1999","80"
"Adina Howard","Adina","Freak Like Me",TRUE,"Adina, do you want to get freaky with me?","1995","2"
"Aerosmith","Baby","Cryin",TRUE,"Baby, baby, baby","1993","12"
"Aerosmith","Baby","Cryin'",TRUE,"Baby, baby, baby","1993","23"
"Aerosmith","Carrie","Draw The Line",TRUE,"Carrie was all over the floor","1977","42"
"Aerosmith","Baby","Dude (Looks Like A Lady)",TRUE,"Baby, maybe you're wrong","1987","14"
"Aerosmith","Venus","Dude (Looks Like A Lady)",TRUE,"She had the body of a Venus","1987","14"
"Aerosmith","Baby","Jaded",TRUE,"Baby, jaded, baby","2001","7"
"Aerosmith","Janie","Janie's Got A Gun",TRUE,"Janie's got a gun","1989","4"
"Aerosmith","Paul","Last Child",TRUE,"From a J Paul Getty and his ear","1976","21"
"Aerosmith","Baby","Rag Doll",TRUE,"Baby won't ya do me like you done before","1988","17"
"Afrojack Featuring Eva Simons","Baby","Take Over Control",TRUE,"Baby, baby, can't you see?","2011","41"
"After 7","Baby","Heat Of The Moment",TRUE,"Baby you licked my lips","1989","19"
"Akon","Angel","Angel",FALSE,"I'm looking at an Angel","2010","56"
"Akon","Gwen","Sorry, Blame It On Me",TRUE,"But I was on tour with Gwen Stefani","2007","7"
"Akon Featuring Eminem","Bo","Smack That",TRUE,"Bo","2006","2"
"Akon Featuring Lil Wayne","Michael","I'm So Paid",TRUE,"Gold chains round my neck just like Michael Phelps","2008","40"
"Akon Featuring Lil Wayne & Young Jeezy","Michael","I'm So Paid",TRUE,"Gold chains round my neck just like Michael Phelps","2008","31"
"Akon Featuring Snoop Dogg","Baby","I Wanna Love You",TRUE,"Baby said I don't talk dog, but she told on me, oh well","2006","1"
"Akon Featuring Styles P.","Baby","Locked Up",TRUE,"Baby I'm locked up they won't let me out, no","2004","8"
"Al B. Sure!","Eddie","Missunderstanding",TRUE,"Yo, you Eddie check this out here...)","1990","42"
"Al B. Sure!","Mercedes","Missunderstanding",FALSE,"Drive my Mercedes","1990","42"
"Al B. Sure!","Al","Off On Your Own (Girl)",TRUE,"My name is Al B. Sure!","1988","45"
"Al B. Sure!","Scott","Off On Your Own (Girl)",TRUE,"Yo', Scott, it ain't hard to tell, right, huh","1988","45"
"Al Green","Belle","Belle",TRUE,"Belle,","1978","83"
"Al Green","Jesus","Belle",TRUE,"Jesus is my!","1978","83"
"Al Green","Baby","Full Of Fire",TRUE,"Baby I'm full of fire","1975","28"
"Al Green","Baby","Guilty",TRUE,"Baby, I'm, guilty of this crime","1972","69"
"Al Green","Joe","Here I Am Come & Take Me",TRUE,"Just for my cup of Joe.","1973","10"
"Al Green","Baby","Hot Wire",TRUE,"Baby, yeah, yeah, yeah, yeah","1973","71"
"Al Green","Heaven","I'm Still In Love With You",FALSE,"Heaven knows that I'm","1972","3"
"Al Green","Baby","Look What You Done For Me",TRUE,"Baby, do you want to, do the thing that you oughta,","1972","4"
"Al Green","Baby","Sha-La-La (Make Me Happy)",TRUE,"Baby","1974","7"
"Al Martino","Easter","Daddy's Little Girl",FALSE,"You're the Easter bunny to mommy and me.","1967","42"
"Al Martino","Mary","Mary In The Morning",TRUE,"Nothing's quite as pretty as Mary in the morning","1967","27"
"Al Stewart","Lily","Song On The Radio",TRUE,"Oh your friends call you \Lily Paloma\""""","1979","29"
"Al Stewart","Peter","Year Of The Cat",TRUE,"You go strolling through the crowd like Peter Lorre","1976","8"
"Al Wilson","Baby","Show And Tell",TRUE,"Baby, baby, baby","1973","1"
"Alabama","Heaven","Close Enough To Perfect",FALSE,"Heaven know's she's not an angel, but she'd really like to be","1982","65"
"Alabama Shakes","Brittany","Hold On",TRUE,"Come on Brittany,","2013","93"
"Alan Jackson","Georgia","Chattahoochee",FALSE,"We laid rubber on the Georgia asphalt","1993","46"
"Alan Jackson","Ford","Drive (For Daddy Gene)",FALSE,"Just an old half-ton shortbed Ford","2002","28"
"Alan Jackson","Johnson","Drive (For Daddy Gene)",FALSE,"A '75 Johnson with electric choke","2002","28"
"Alan Jackson","Mario","Drive (For Daddy Gene)",TRUE,"But I was Mario Andretti","2002","28"
"Alan Jackson","Hank","Good Time",TRUE,"Just like ol' Hank taught us about","2008","40"
"Alan Jackson","Elvis","Little Man",TRUE,"And sell velvet Elvis and","1999","39"
"Alan Jackson","Johnson","Little Man",TRUE,"There's Johnson's hardware and Morgan's jewelry","1999","39"
"Alan Jackson","Lee","Little Man",TRUE,"And the ol' Lee king's apothecary","1999","39"
"Alan Jackson","Morgan","Little Man",TRUE,"There's Johnson's hardware and Morgan's jewelry","1999","39"
"Alan Jackson","Heaven","Monday Morning Church",FALSE,"I still believe in Heaven","2004","54"
"Alan Jackson","Jesus","Monday Morning Church",TRUE,"He told me Jesus loves me","2004","54"
"Alan Jackson","Heaven","Sissy's Song",FALSE,"She flew up to Heaven on the wings of angels","2009","61"
"Alan Jackson","Jesus","Sissy's Song",TRUE,"And she walks with Jesus and her loved ones waiting","2009","61"
"Alan Jackson","Jesus","Small Town Southern Man",TRUE,"His head to Jesus","2008","42"
"Alan Jackson","Sam","Small Town Southern Man",TRUE,"For Uncle Sam","2008","42"
"Alan Jackson","Barney","Where I Come From",TRUE,"When Barney stopped me with his gun","2001","34"
"Alan Jackson","Jesus","Where Were You (When The World Stopped Turning)",TRUE,"But I know Jesus and I talk to God","2001","28"
"Alan Jackson","Lucy","Where Were You (When The World Stopped Turning)",TRUE,"And turn on I Love Lucy reruns?","2001","28"
"Alan Jackson","Heaven","Work In Progress",FALSE,"He looked down from Heaven and said to tell you please","2002","35"
"Alan Jackson","Venus","Work In Progress",FALSE,"I read that book you gave me about Mars and Venus","2002","35"
"Alanis Morissette","India","Thank U",FALSE,"Thank you India","1998","17"
"Alanis Morissette","Jonathan","Unsent",TRUE,"Dear Jonathan I liked you too much I used to be attracted to boys","1999","58"
"Alanis Morissette","Marcus","Unsent",TRUE,"Dear Marcus you rocked my world you had a charismatic way","1999","58"
"Alanis Morissette","Matthew","Unsent",TRUE,"Dear Matthew I like you a lot I realize you're in a relationship","1999","58"
"Alanis Morissette","Terrance","Unsent",TRUE,"Dear Terrance I love you muchly you've been nothing","1999","58"
"Alannah Myles","Jimmy","Black Velvet",TRUE,"Jimmy Rodgers on the Victrola up high","1989","1"
"Alannah Myles","Heaven","Love Is",FALSE,"Heaven to the lonely","1990","36"
"Alexander O'Neal","Alex","Fake",TRUE,"Alex is the name that I go by!","1987","32"
"Alexander O'Neal","Kay","Fake",TRUE,"but now it's Kay","1987","32"
"Alexander O'Neal","Patty","Fake",TRUE,"Your name was Patty","1987","32"
"Alice Cooper","Billy","Department Of Youth",TRUE,"And we've never heard of Billy Sunday","1975","67"
"Alice Cooper","Damon","Department Of Youth",TRUE,"Damon Runyon, manners or couth","1975","67"
"Alice Cooper","America","Elected",FALSE,"Everyone in the United States Of America","1972","26"
"Alice Cooper","Louis","Elected",FALSE,"New York City, Saint Louis, Philadelphia, Los Angeles","1972","26"
"Alice Cooper","Royce","Elected",FALSE,"Royce","1972","26"
"Alice Cooper","Baby","Only My Heart Talkin",TRUE,"Baby, give me one more chance","1990","89"
"Alicia Bridges","Alicia","I Love The Nightlife (Disco 'Round)",TRUE,"Alicia Bridges","1978","5"
"Alicia Keys","Baby","A Woman's Worth",TRUE,"Baby you know I'm worth it","2001","7"
"Alicia Keys","Baby","Teenage Love Affair",TRUE,"Baby dial your number","2008","54"
"Alicia Keys","Bill","Unbreakable",TRUE,"Or Give Back Like Bill And Camille","2005","34"
"Alicia Keys","Camille","Unbreakable",TRUE,"Or Give Back Like Bill And Camille","2005","34"
"Alicia Keys","Catherine","Unbreakable",TRUE,"And Have Enough Kids To Make A Band Like Joe And Catherine,","2005","34"
"Alicia Keys","Ike","Unbreakable",TRUE,"We Could Fight Like Ike And Tina","2005","34"
"Alicia Keys","Jada","Unbreakable",TRUE,"See, We Could Act Out Like Will And Jada","2005","34"
"Alicia Keys","James","Unbreakable",TRUE,"Or Instead Struggle Like Flow And James Evans","2005","34"
"Alicia Keys","Joe","Unbreakable",TRUE,"And Have Enough Kids To Make A Band Like Joe And Catherine,","2005","34"
"Alicia Keys","Kimora","Unbreakable",TRUE,"Or Like Kimora And Russell Makin' Paper, Oh Yeah","2005","34"
"Alicia Keys","Russell","Unbreakable",TRUE,"Or Like Kimora And Russell Makin' Paper, Oh Yeah","2005","34"
"Alicia Keys","Tina","Unbreakable",TRUE,"We Could Fight Like Ike And Tina","2005","34"
"Alicia Keys","Will","Unbreakable",TRUE,"See, We Could Act Out Like Will And Jada","2005","34"
"Alicia Keys","Baby","You Don't Know My Name",TRUE,"Baby, baby, baby","2003","3"
"Alien Ant Farm","Annie","Smooth Criminal",TRUE,"Annie are you ok","2001","23"
"All-4-One","Heaven","I Can Love You Like That",FALSE,"Move Heaven and Earth if you were my girl","1995","5"
"All-4-One","Juliet","I Can Love You Like That",TRUE,"The way you felt when Romeo kissed Juliet","1995","5"
"All-4-One","Romeo","I Can Love You Like That",TRUE,"The way you felt when Romeo kissed Juliet","1995","5"
"All-4-One","Baby","So Much In Love",TRUE,"Baby, I hope you realize","1994","5"
"All Saints","Baby","I Know Where It's At",TRUE,"Baby, got it going on, I don't see nothing wrong","1998","36"
"Alpha Rev","Mona Lisa","New Morning",TRUE,"Have you heard the Mona Lisa","2010","100"
"Alphaville","Winter","Big In Japan",FALSE,"Winter's cityside","1984","66"
"Alphaville","Heaven","Forever Young",FALSE,"Heaven can wait we're only watching the skies.","1985","65"
"Alvin And The Chipmunks Featuring Chris Classic","Baby","Witch Doctor (2007)",TRUE,"Oh Baby Baby!","2008","62"
"Amanda Marshall","Jim","Birmingham",FALSE,"a fifth of Jim Beam on the floor.","1996","43"
"Amanda Marshall","Virgil","Birmingham",TRUE,"Virgil Spencer's got a nineteen inch Hitachi and many demons lingering.","1996","43"
"Ambrosia","Fred","Nice, Nice, Very Nice",TRUE,"Or a Ginger Rogers and a Fred Astaire","1975","63"
"Ambrosia","Ginger","Nice, Nice, Very Nice",TRUE,"Or a Ginger Rogers and a Fred Astaire","1975","63"
"Ambrosia","Baby","You're The Only Woman (You & I)",TRUE,"Baby see what a foolish heart has done for me","1980","13"
"Amel Larrieux","Brooklyn","Get Up",FALSE,"Brooklyn incredible place for all the seminal waste","2000","97"
"America","Daisy Jane","Daisy Jane",TRUE,"Gotta find my Daisy Jane","1975","20"
"America","Daisy","Daisy Jane",TRUE,"Daisy I think I'm same","1975","20"
"America","Sam","Muskrat Love",TRUE,"Muskrat Susie, Muskrat Sam","1973","67"
"America","Sammy","Muskrat Love",TRUE,"And Sammy's so skinny","1973","67"
"America","Sue","Muskrat Love",TRUE,"and Sue starts to giggle","1973","67"
"America","Susie","Muskrat Love",TRUE,"Muskrat Susie, Muskrat Sam","1973","67"
"America","Greta","Right Before Your Eyes",TRUE,"And then just like Greta Garbo","1982","45"
"America","Madison","Right Before Your Eyes",FALSE,"On the bus to Madison Avenue","1982","45"
"America","Rudolph","Right Before Your Eyes",TRUE,"That Im Rudolph Valentino","1982","45"
"America","Joe","Ventura Highway",TRUE,"Tell me, how long you gonna stay here Joe?","1972","8"
"Amerie","Baby","Talkin' To Me",TRUE,"Baby ain't nothin' wrong with the love","2002","51"
"Amii Stewart","Baby","Knock On Wood",TRUE,"Baby","1979","1"
"Amy Grant","Baby","Baby Baby",TRUE,"Baby, baby","1991","1"
"Amy Grant","Mario","Good For Me",TRUE,"You like to drive like Mario Andretti","1992","8"
"Amy Grant","Baby","Lucky One",TRUE,"Baby I'm the lucky one","1994","18"
"Amy Grant","Baby","That's What Love Is For",TRUE,"Baby, that's what love is for.","1991","7"
"Amy Winehouse","Ray","Rehab",TRUE,"I'd rather be at home with Ray","2007","9"
"Amy Winehouse Featuring Ghostface Killah","Roger","You Know I'm No Good",TRUE,"You tear me down like Roger Moore","2007","77"
"Amy Winehouse Featuring Ghostface Killah","Stella","You Know I'm No Good",FALSE,"Hand me your Stella and fly","2007","77"
"Andrew Gold","Juliet","Never Let Her Slip Away",TRUE,"I feel like the lead in Romeo and Juliet","1978","67"
"Andrew Gold","Romeo","Never Let Her Slip Away",TRUE,"I feel like the lead in Romeo and Juliet","1978","67"
"Andrew McMahon In The Wilderness","Cecilia","Cecilia And The Satellite",TRUE,"Don't be afraid Cecilia","2015","96"
"Andrew McMahon In The Wilderness","London","Cecilia And The Satellite",FALSE,"And I've seen London, and I've played Japan","2015","96"
"Andy Gibb","Heaven","(Love Is) Thicker Than Water",FALSE,"Heaven's angel, devil's daughter","1977","1"
"Andy Griggs","Baby","Tonight I Wanna Be Your Man",TRUE,"Baby light a couple candles","2002","52"
"Andy Griggs","Baby","You Won't Ever Be Lonely",TRUE,"Baby, here's where it starts","1999","28"
"Andy Kim","Baby","Baby, I Love You",TRUE,"Baby I love you","1969","9"
"Andy Kim","Baby","Rock Me Gently",TRUE,"Baby, baby","1974","1"
"Andy Pratt","Annie","Avenging Annie",TRUE,"Well they call her avenging Annie","1973","78"
"Andy Pratt","Floyd","Avenging Annie",TRUE,"Floyd the outlaw","1973","78"
"Andy Williams","Baby","A Song For You",TRUE,"Baby can't you please see through me","1971","82"
"Andy Williams","Danny","Danny Boy",TRUE,"Oh, Danny boy","1961","64"
"Andy Williams","Sunshine","Danny Boy",TRUE,"Sunshine or in shadow","1961","64"
"Andy Williams","Tony","The Bilbao Song",TRUE,"While Tony's Beach Saloon","1961","37"
"Andy Williams","Bernadette","The Village Of St. Bernadette",FALSE,"Is Lourdes, the village of Saint Bernadette","1959","7"
"Andy Williams","Lourdes","The Village Of St. Bernadette",FALSE,"Is Lourdes, the village of Saint Bernadette","1959","7"
"Andy Williams","Maria","The Village Of St. Bernadette",TRUE,"Ave, ave, ave Maria","1959","7"
"Angel","Paris","That Magic Touch",FALSE,"You've taken far too much, since you left for Paris,","1977","77"
"Angie Stone","Baby","No More Rain (In This Cloud)",TRUE,"Baby, don't waste your time","1999","56"
