"name","college","link","smallMult","rank","draft_year","draft_rd","draft_pk","recruit_year","avgRank","top","highSchool","coll","draft","rookie","valid_seasons","allstar","bad","good","great","highest"
"Levi Watkins","North Carolina State University","https://www.sports-reference.com/cbb/players/levi-watkins-1.html",1,60,,,,2001,,1,1,0,,,,,,,,"college"
"Matt Sylvester","Ohio State University","https://www.sports-reference.com/cbb/players/matt-sylvester-1.html",1,61,,,,2001,,1,1,0,,,,,,,,"college"
"Roger Powell","University of Illinois at Urbana-Champaign","/players/p/powelro01.html",0,62,,,,2001,,1,1,0,,,0,,,,,"college"
"Harvey Thomas","Baylor University","https://www.sports-reference.com/cbb/players/harvey-thomas-1.html",0,63,,,,2001,,1,1,0,,,,,,,,"college"
"Levar Seals","DePaul University","https://www.sports-reference.com/cbb/players/levar-seals-1.html",0,64,,,,2001,,1,1,0,,,,,,,,"college"
"Josh Powell","North Carolina State University","/players/p/poweljo01.html",1,65,,,,2001,,1,1,0,,,0,,,,,"college"
"Marcellus Sommerville","Bradley University","https://www.sports-reference.com/cbb/players/marcellus-sommerville-1.html",0,66,,,,2001,,1,1,0,,,,,,,,"college"
"Duane John","New Mexico State University","https://www.sports-reference.com/cbb/players/duane-john-1.html",0,67,,,,2001,,1,1,0,,,,,,,,"college"
"Errick Craven","University of Southern California","https://www.sports-reference.com/cbb/players/errick-craven-1.html",1,68,,,,2001,,1,1,0,,,,,,,,"college"
"Salim Stoudamire","University of Arizona","/players/s/stoudsa01.html",1,69,2005,2,31,2001,,1,1,1,1,1,0,,1,,,"bad"
"Rob Little","Stanford University","https://www.sports-reference.com/cbb/players/rob-little-1.html",0,70,,,,2001,,1,1,0,,,,,,,,"college"
"Larry Turner","Tennessee State University","https://www.sports-reference.com/cbb/players/larry-turner-1.html",0,71,,,,2001,,1,1,0,,,,,,,,"college"
"Anthony Vasser","","",0,72,,,,2001,,1,0,,,,,,,,,"highSchool"
"Marcus Spears","","",0,72,,,,2001,,1,0,,,,,,,,,"highSchool"
"Isma'Il Muhammad","Georgia Institute of Technology","https://www.sports-reference.com/cbb/players/ismail-muhammad-1.html",1,74,,,,2001,,1,1,0,,,,,,,,"college"
"Marcus Campbell","Mississippi State University","https://www.sports-reference.com/cbb/players/marcus-campbell-2.html",0,75,,,,2001,,1,1,0,,,,,,,,"college"
"Anthony Rice","University of Memphis","https://www.sports-reference.com/cbb/players/anthony-rice-1.html",1,76,,,,2001,,1,1,0,,,,,,,,"college"
"Winsome Frazier","Mississippi State University","https://www.sports-reference.com/cbb/players/winsome-frazier-1.html",0,77,,,,2001,,1,1,0,,,,,,,,"college"
"Jamaal Williams","University of Washington","https://www.sports-reference.com/cbb/players/jamaal-williams-1.html",0,78,,,,2001,,1,1,0,,,,,,,,"college"
"Craig Forth","Syracuse University","https://www.sports-reference.com/cbb/players/craig-forth-1.html",1,79,,,,2001,,1,1,0,,,,,,,,"college"
"Ernest Turner","University of Maine","https://www.sports-reference.com/cbb/players/ernest-turner-1.html",0,80,,,,2001,,1,1,0,,,,,,,,"college"
"Erroll Knight","Gonzaga University","https://www.sports-reference.com/cbb/players/erroll-knight-1.html",0,80,,,,2001,,1,1,0,,,,,,,,"college"
"Mitchell Baldwin","University of North Carolina at Charlotte","https://www.sports-reference.com/cbb/players/mitchell-baldwin-1.html",0,83,,,,2001,,1,1,0,,,,,,,,"college"
"Eddie Basden","University of North Carolina at Charlotte","/players/b/basdeed01.html",0,84,,,,2001,,1,1,0,,,0,,,,,"college"
"Vytas Danelius","Wake Forest University","https://www.sports-reference.com/cbb/players/vytas-danelius-1.html",0,85,,,,2001,,1,1,0,,,,,,,,"college"
"Jermaine Watson","Boston College","https://www.sports-reference.com/cbb/players/jermaine-watson-1.html",0,86,,,,2001,,1,1,0,,,,,,,,"college"
"Lawrence Roberts","Mississippi State University","/players/r/roberla01.html",0,87,2005,2,55,2001,,1,1,1,1,1,0,,1,,,"bad"
"Channing Frye","University of Arizona","/players/f/fryech01.html",1,87,2005,1,8,2001,59.9,1,1,1,1,1,7,,,,1,"great"
"Derek Stribling","Tennessee Technological University","https://www.sports-reference.com/cbb/players/derek-stribling-1.html",0,89,,,,2001,,1,1,0,,,,,,,,"college"
"Mike Jensen","University of Washington","https://www.sports-reference.com/cbb/players/mike-jensen-1.html",0,90,,,,2001,,1,1,0,,,,,,,,"college"
"Keith Langford","University of Kansas","/players/l/langfke01.html",1,91,,,,2001,,1,1,0,,,0,,,,,"college"
"Jason Braxton","Arizona State University","https://www.sports-reference.com/cbb/players/jason-braxton-1.html",0,92,,,,2001,,1,1,0,,,,,,,,"college"
"Jason Clark","University of Virginia","https://www.sports-reference.com/cbb/players/jason-clark-2.html",0,92,,,,2001,,1,1,0,,,,,,,,"college"
"Chris Hernandez","Stanford University","https://www.sports-reference.com/cbb/players/chris-hernandez-1.html",0,94,,,,2001,,1,1,0,,,,,,,,"college"
"Marcus Austin","Villanova University","https://www.sports-reference.com/cbb/players/marcus-austin-1.html",1,94,,,,2001,,1,1,0,,,,,,,,"college"
"Terry Licorish","","",0,96,,,,2001,,1,0,,,,,,,,,"highSchool"
"B.J. Elder","Georgia Institute of Technology","https://www.sports-reference.com/cbb/players/bj-elder-1.html",1,97,,,,2001,,1,1,0,,,,,,,,"college"
"Carl Krauser","University of Pittsburgh","https://www.sports-reference.com/cbb/players/carl-krauser-1.html",0,98,,,,2001,,1,1,0,,,,,,,,"college"
"Emeka Okafor","University of Connecticut","/players/o/okafoem01.html",1,99,2004,1,2,2001,80.9,1,1,1,1,1,7,,,1,,"good"
"Michael Fey","University of California, Los Angeles","https://www.sports-reference.com/cbb/players/michael-fey-1.html",1,100,,,,2001,,1,1,0,,,,,,,,"college"
"Amar'e Stoudemire","","/players/s/stoudam01.html",0,1,2002,1,9,2002,40.8,1,1,2,1,1,9,,,,1,"great"
"Carmelo Anthony","Syracuse University","/players/a/anthoca01.html",1,2,2003,1,3,2002,28.8,1,1,1,1,1,14,1,,,,"allstar"
"Raymond Felton","University of North Carolina","/players/f/feltora01.html",1,3,2005,1,5,2002,69.2,1,1,1,1,1,11,,,1,,"good"
"Rashad McCants","University of North Carolina","/players/m/mccanra01.html",1,4,2005,1,14,2002,122.5,1,1,1,1,1,1,,1,,,"bad"
"Chris Bosh","Georgia Institute of Technology","/players/b/boshch01.html",1,5,2003,1,4,2002,23.5,1,1,1,1,1,13,1,,,,"allstar"
"Jason Fraser","Villanova University","https://www.sports-reference.com/cbb/players/jason-fraser-1.html",1,5,,,,2002,,1,1,0,,,,,,,,"college"
"Paul Davis","Michigan State University","/players/d/davispa01.html",1,7,2006,2,34,2002,,1,1,1,1,1,0,,1,,,"bad"
"Shelden Williams","Duke University","/players/w/willish02.html",1,8,2006,1,5,2002,167.5,1,1,1,1,1,2,,1,,,"bad"
"Sean May","University of North Carolina","/players/m/mayse01.html",1,9,2005,1,13,2002,,1,1,1,1,1,0,,1,,,"bad"
"DeAngelo Collins","","",0,10,,,,2002,,1,0,,,,,,,,,"highSchool"
"J.J. Redick","Duke University","/players/r/redicjj01.html",1,11,2006,1,11,2002,66.4,1,1,1,1,1,8,,,1,,"good"
"Bracey Wright","Indiana University","/players/w/wrighbr02.html",0,12,2005,2,47,2002,,1,1,1,1,1,0,,1,,,"bad"
"Evan Burns","San Diego State University","https://www.sports-reference.com/cbb/players/evan-burns-1.html",0,13,,,,2002,,1,1,0,,,,,,,,"college"
"Shavlik Randolph","Duke University","/players/r/randosh01.html",1,14,,,,2002,,1,1,0,,,0,,,,,"college"
"Daniel Horton","University of Michigan","https://www.sports-reference.com/cbb/players/daniel-horton-1.html",0,15,,,,2002,,1,1,0,,,,,,,,"college"
"Anthony Roberson","University of Florida","/players/r/roberan02.html",1,16,,,,2002,,1,1,0,,,0,,,,,"college"
"Chris Rodgers","University of Arizona","https://www.sports-reference.com/cbb/players/chris-rodgers-1.html",1,17,,,,2002,,1,1,0,,,,,,,,"college"
"Antoine Wright","Texas A&M University","/players/w/wrighan01.html",0,18,2005,1,15,2002,156,1,1,1,1,1,1,,1,,,"bad"
"Dee Brown","University of Illinois at Urbana-Champaign","/players/b/brownde03.html",0,19,2006,2,46,2002,,1,1,1,1,1,0,,1,,,"bad"
"Hassan Adams","University of Arizona","/players/a/adamsha01.html",1,20,2006,2,54,2002,,1,1,1,1,1,0,,1,,,"bad"
"Sean Dockery","Duke University","https://www.sports-reference.com/cbb/players/sean-dockery-1.html",1,21,,,,2002,,1,1,0,,,,,,,,"college"
"Brad Buckman","University of Texas at Austin","https://www.sports-reference.com/cbb/players/brad-buckman-1.html",1,22,,,,2002,,1,1,0,,,,,,,,"college"
"Sani Ibrahim","","",0,23,,,,2002,,1,0,,,,,,,,,"highSchool"
"Rashad Anderson","University of Connecticut","https://www.sports-reference.com/cbb/players/rashad-anderson-1.html",1,24,,,,2002,,1,1,0,,,,,,,,"college"
"Lenny Cooke","","",0,25,,,,2002,,1,0,,,,,,,,,"highSchool"
"Bryan Hopkins","Southern Methodist University","https://www.sports-reference.com/cbb/players/bryan-hopkins-1.html",0,25,,,,2002,,1,1,0,,,,,,,,"college"
"Andre Iguodala","University of Arizona","/players/i/iguodan01.html",1,27,2004,1,9,2002,16.1,1,1,1,1,1,14,1,,,,"allstar"
"Elijah Ingram","New Mexico State University","https://www.sports-reference.com/cbb/players/elijah-ingram-1.html",0,28,,,,2002,,1,1,0,,,,,,,,"college"
"Travis Garrison","University of Maryland","https://www.sports-reference.com/cbb/players/travis-garrison-1.html",0,29,,,,2002,,1,1,0,,,,,,,,"college"
"Michael Thompson","Duke University","https://www.sports-reference.com/cbb/players/michael-thompson-1.html",1,30,,,,2002,,1,1,0,,,,,,,,"college"
"Kelenna Azubuike","University of Kentucky","/players/a/azubuke01.html",1,31,,,,2002,137.75,1,1,1,1,1,2,,1,,,"bad"
"Kevin Bookout","University of Oklahoma","https://www.sports-reference.com/cbb/players/kevin-bookout-1.html",0,31,,,,2002,,1,1,0,,,,,,,,"college"
"Kennedy Winston","University of Alabama","https://www.sports-reference.com/cbb/players/kennedy-winston-1.html",1,33,,,,2002,,1,1,0,,,,,,,,"college"
"Denham Brown","University of Connecticut","https://www.sports-reference.com/cbb/players/denham-brown-1.html",1,34,2006,,,2002,,1,1,1,0,,,,,,,"draft"
"Jimmy McKinney","University of Missouri","https://www.sports-reference.com/cbb/players/jimmy-mckinney-1.html",0,35,,,,2002,,1,1,0,,,,,,,,"college"
"Eric Williams","Wake Forest University","https://www.sports-reference.com/cbb/players/eric-williams-5.html",0,36,,,,2002,,1,1,0,,,,,,,,"college"
"Torin Francis","University of Notre Dame","https://www.sports-reference.com/cbb/players/torin-francis-1.html",0,37,,,,2002,,1,1,0,,,,,,,,"college"
"Gerry McNamara","Syracuse University","https://www.sports-reference.com/cbb/players/gerry-mcnamara-1.html",1,38,,,,2002,,1,1,0,,,,,,,,"college"
"Allan Ray","Villanova University","/players/r/rayal01.html",1,39,,,,2002,,1,1,0,,,0,,,,,"college"
"Matt Walsh","University of Florida","/players/w/walshma01.html",1,40,,,,2002,,1,1,0,,,0,,,,,"college"
"Alexander Johnson","Florida State University","/players/j/johnsal01.html",1,41,2006,2,45,2002,,1,1,1,1,1,0,,1,,,"bad"
"Curtis Sumpter","Villanova University","https://www.sports-reference.com/cbb/players/curtis-sumpter-1.html",1,42,,,,2002,,1,1,0,,,,,,,,"college"
"John Gilchrist","University of Maryland","https://www.sports-reference.com/cbb/players/john-gilchrist-1.html",0,43,,,,2002,,1,1,0,,,,,,,,"college"
"Antonio Lawrence","San Jose State University","https://www.sports-reference.com/cbb/players/antonio-lawrence-1.html",0,44,,,,2002,,1,1,0,,,,,,,,"college"
"Brandon Roy","University of Washington","/players/r/roybr01.html",0,45,2006,1,6,2002,36.625,1,1,1,1,1,4,,,,1,"great"
"Jarrett Jack","Georgia Institute of Technology","/players/j/jackja01.html",1,46,2005,1,22,2002,110.4,1,1,1,1,1,11,,,1,,"good"
"De'Angelo Alexander","University of North Carolina at Charlotte","https://www.sports-reference.com/cbb/players/deangelo-alexander-1.html",0,47,,,,2002,,1,1,0,,,,,,,,"college"
"Deron Williams","University of Illinois at Urbana-Champaign","/players/w/willide01.html",0,48,2005,1,3,2002,25.9,1,1,1,1,1,12,1,,,,"allstar"
"Lester Abram","University of Michigan","https://www.sports-reference.com/cbb/players/lester-abram-1.html",0,49,,,,2002,,1,1,0,,,,,,,,"college"
"Greg Brunner","University of Iowa","https://www.sports-reference.com/cbb/players/greg-brunner-1.html",0,50,,,,2002,,1,1,0,,,,,,,,"college"
"Ike Diogu","Arizona State University","/players/d/dioguik01.html",0,51,2005,1,9,2002,,1,1,1,1,1,0,,1,,,"bad"
"Matt Trannon","Michigan State University","https://www.sports-reference.com/cbb/players/matt-trannon-1.html",1,52,,,,2002,,1,1,0,,,,,,,,"college"
"Mario Boggan","Oklahoma State University","https://www.sports-reference.com/cbb/players/mario-boggan-1.html",0,53,,,,2002,,1,1,0,,,,,,,,"college"
"Maurice Ager","Michigan State University","/players/a/agerma01.html",1,54,2006,1,28,2002,,1,1,1,1,1,0,,1,,,"bad"
"Eric Hicks","University of Cincinnati","https://www.sports-reference.com/cbb/players/eric-hicks-1.html",0,55,,,,2002,,1,1,0,,,,,,,,"college"
"Randy Foye","Villanova University","/players/f/foyera01.html",1,56,2006,1,7,2002,127.4,1,1,1,1,1,8,,1,,,"bad"
"Steve Novak","Marquette University","/players/n/novakst01.html",0,57,2006,2,32,2002,116.5,1,1,1,1,1,1,,,1,,"good"
"Derrick Byars","Vanderbilt University","/players/b/byarsde01.html",0,58,2007,2,42,2002,,1,1,1,1,0,0,,,,,"rookie"
"Jeff Horner","University of Iowa","https://www.sports-reference.com/cbb/players/jeff-horner-1.html",0,59,,,,2002,,1,1,0,,,,,,,,"college"
"Chris McCray","University of Maryland","/players/m/mccrach01.html",0,60,,,,2002,,1,1,0,,,0,,,,,"college"
"Justin Gray","Wake Forest University","https://www.sports-reference.com/cbb/players/justin-gray-1.html",0,61,,,,2002,,1,1,0,,,,,,,,"college"
"Julius Lamptey","","",0,62,,,,2002,,1,0,,,,,,,,,"highSchool"
"Marshall Strickland","Indiana University","https://www.sports-reference.com/cbb/players/marshall-strickland-1.html",0,62,,,,2002,,1,1,0,,,,,,,,"college"
"Robert Hite","University of Miami","/players/h/hitero01.html",0,64,,,,2002,,1,1,0,,,0,,,,,"college"
"Taquan Dean","University of Louisville","https://www.sports-reference.com/cbb/players/taquan-dean-1.html",1,65,,,,2002,,1,1,0,,,,,,,,"college"
"Keith Butler","Temple University","https://www.sports-reference.com/cbb/players/keith-butler-2.html",0,66,,,,2002,,1,1,0,,,,,,,,"college"
"Curtis Withers","University of North Carolina at Charlotte","https://www.sports-reference.com/cbb/players/curtis-withers-1.html",0,67,,,,2002,,1,1,0,,,,,,,,"college"
"J.R. Morris","Seton Hall University","https://www.sports-reference.com/cbb/players/jr-morris-1.html",0,68,,,,2002,,1,1,0,,,,,,,,"college"
"Rick Billings","Oakland University","https://www.sports-reference.com/cbb/players/rick-billings-1.html",0,69,,,,2002,,1,1,0,,,,,,,,"college"
"Chadd Moore","University of Cincinnati","https://www.sports-reference.com/cbb/players/chadd-moore-1.html",0,70,,,,2002,,1,1,0,,,,,,,,"college"
"Francisco Garcia","University of Louisville","/players/g/garcifr01.html",1,71,2005,1,23,2002,130,1,1,1,1,1,2,,1,,,"bad"
"Jeremy Hunt","University of Memphis","https://www.sports-reference.com/cbb/players/jeremy-hunt-1.html",1,72,,,,2002,,1,1,0,,,,,,,,"college"
"Matt Haryasz","Stanford University","https://www.sports-reference.com/cbb/players/matt-haryasz-1.html",0,73,,,,2002,,1,1,0,,,,,,,,"college"
"Adam Haluska","University of Iowa","https://www.sports-reference.com/cbb/players/adam-haluska-1.html",0,74,2007,,,2002,,1,1,1,0,,,,,,,"draft"
"Chris Quinn","University of Notre Dame","/players/q/quinnch01.html",0,75,,,,2002,,1,1,0,,,0,,,,,"college"
"Yusuf Baker","University of South Florida","https://www.sports-reference.com/cbb/players/yusuf-baker-1.html",0,75,,,,2002,,1,1,0,,,,,,,,"college"
"Aliou Kane","Texas Christian University","https://www.sports-reference.com/cbb/players/aliou-kane-1.html",0,75,,,,2002,,1,1,0,,,,,,,,"college"
"James Augustine","University of Illinois at Urbana-Champaign","/players/a/augusja01.html",0,78,2006,2,41,2002,,1,1,1,1,1,0,,1,,,"bad"
"Chuck Davis","University of Alabama","https://www.sports-reference.com/cbb/players/chuck-davis-1.html",1,79,,,,2002,,1,1,0,,,,,,,,"college"
"Greg Brown","Missouri State University","https://www.sports-reference.com/cbb/players/greg-brown-2.html",0,80,,,,2002,,1,1,0,,,,,,,,"college"
"Marcus White","Purdue University","https://www.sports-reference.com/cbb/players/marcus-white-1.html",0,81,,,,2002,,1,1,0,,,,,,,,"college"
"Trent Strickland","Wake Forest University","https://www.sports-reference.com/cbb/players/trent-strickland-1.html",0,82,,,,2002,,1,1,0,,,,,,,,"college"
"Vincent Grier","University of Minnesota","https://www.sports-reference.com/cbb/players/vincent-grier-1.html",0,83,,,,2002,,1,1,0,,,,,,,,"college"
"Almamy Thiero","Duquesne University","https://www.sports-reference.com/cbb/players/almamy-thiero-1.html",0,84,,,,2002,,1,1,0,,,,,,,,"college"
"Cameron Bennerman","North Carolina State University","https://www.sports-reference.com/cbb/players/cameron-bennerman-1.html",1,84,,,,2002,,1,1,0,,,,,,,,"college"
"Aaron Spears","St. John's University","https://www.sports-reference.com/cbb/players/aaron-spears-1.html",0,86,,,,2002,,1,1,0,,,,,,,,"college"
"C.J. Watson","University of Tennessee","/players/w/watsocj01.html",1,86,,,,2002,131.333333333333,1,1,1,1,1,3,,1,,,"bad"
"Josh Rhodes","","",0,88,,,,2002,,1,0,,,,,,,,,"highSchool"
"Marquise Kately","Morgan State University","https://www.sports-reference.com/cbb/players/marquise-kately-1.html",0,89,,,,2002,,1,1,0,,,,,,,,"college"
"Boo Wade","University of Wisconsin","https://www.sports-reference.com/cbb/players/boo-wade-1.html",0,90,,,,2002,,1,1,0,,,,,,,,"college"
"Mario Moore","Vanderbilt University","https://www.sports-reference.com/cbb/players/mario-moore-1.html",0,91,,,,2002,,1,1,0,,,,,,,,"college"
"Matt Kiefer","Purdue University","https://www.sports-reference.com/cbb/players/matt-kiefer-1.html",0,91,,,,2002,,1,1,0,,,,,,,,"college"
"Kevin Young","University of Missouri","https://www.sports-reference.com/cbb/players/kevin-young-2.html",0,93,,,,2002,,1,1,0,,,,,,,,"college"
"Gary Ervin","Mississippi State University","https://www.sports-reference.com/cbb/players/gary-ervin-1.html",0,94,,,,2002,,1,1,0,,,,,,,,"college"
"Dedrick Finn","Xavier University","https://www.sports-reference.com/cbb/players/dedrick-finn-1.html",0,95,,,,2002,,1,1,0,,,,,,,,"college"
"Nik Caner-Medley","University of Maryland","https://www.sports-reference.com/cbb/players/nik-caner-medley-1.html",0,95,,,,2002,,1,1,0,,,,,,,,"college"
"Bobby Jones","University of Washington","/players/j/jonesbo02.html",0,97,2006,2,37,2002,,1,1,1,1,1,0,,1,,,"bad"
"Tyler Smith","DePaul University","https://www.sports-reference.com/cbb/players/tyler-smith-1.html",0,98,,,,2002,,1,1,0,,,,,,,,"college"
"Wes Wilkinson","University of Nebraska","https://www.sports-reference.com/cbb/players/wes-wilkinson-1.html",0,98,,,,2002,,1,1,0,,,,,,,,"college"
"John Winchester","Quinnipiac University","https://www.sports-reference.com/cbb/players/john-winchester-1.html",0,100,,,,2002,,1,1,0,,,,,,,,"college"
"LeBron James","","/players/j/jamesle01.html",0,1,2003,1,1,2003,1,1,1,2,1,1,15,1,,,,"allstar"
"Luol Deng","Duke University","/players/d/denglu01.html",1,2,2004,1,7,2003,30.8,1,1,1,1,1,12,,,,1,"great"
"Shannon Brown","Michigan State University","/players/b/brownsh01.html",1,3,2006,1,25,2003,165,1,1,1,1,1,3,,1,,,"bad"
"Ndudi Ebi","","/players/e/ebind01.html",0,4,2003,1,26,2003,,1,1,2,1,1,0,,1,,,"bad"
"Kendrick Perkins","","/players/p/perkike01.html",0,5,2003,1,27,2003,85.3,1,1,2,1,1,6,,,1,,"good"
"Chris Paul","Wake Forest University","/players/p/paulch01.html",0,6,2005,1,4,2003,3.2,1,1,1,1,1,13,1,,,,"allstar"
"David Padgett","University of Louisville","https://www.sports-reference.com/cbb/players/david-padgett-1.html",1,7,,,,2003,,1,1,0,,,,,,,,"college"
"Brian Butch","University of Wisconsin","https://www.sports-reference.com/cbb/players/brian-butch-1.html",0,7,,,,2003,,1,1,0,,,,,,,,"college"
"Leon Powe","University of California","/players/p/powele01.html",0,9,2006,2,49,2003,,1,1,1,1,1,0,,1,,,"bad"
"Kris Humphries","University of Minnesota","/players/h/humphkr01.html",0,10,2004,1,14,2003,89.75,1,1,1,1,1,2,,,1,,"good"
"Von Wafer","Florida State University","/players/w/wafervo01.html",1,11,2005,2,39,2003,,1,1,1,1,1,0,,1,,,"bad"
"Brandon Bass","Louisiana State University","/players/b/bassbr01.html",0,12,2005,2,33,2003,134.7,1,1,1,1,1,7,,1,,,"bad"
"Olu Famutimi","University of Arkansas","https://www.sports-reference.com/cbb/players/olu-famutimi-1.html",0,13,,,,2003,,1,1,0,,,,,,,,"college"
"J.R. Giddens","University of New Mexico","/players/g/giddejr01.html",0,14,2008,1,30,2003,,1,1,1,1,1,0,,1,,,"bad"
"Travis Outlaw","","/players/o/outlatr01.html",0,14,2003,1,23,2003,155.375,1,1,2,1,1,4,,1,,,"bad"
"Linas Kleiza","University of Missouri","/players/k/kleizli01.html",0,14,2005,1,27,2003,134.75,1,1,1,1,1,2,,1,,,"bad"
"Mike Jones","University of Maryland","https://www.sports-reference.com/cbb/players/mike-jones-2.html",0,17,,,,2003,,1,1,0,,,,,,,,"college"
"Charlie Villanueva","University of Connecticut","/players/v/villach01.html",1,18,2005,1,7,2003,141.3,1,1,1,1,1,5,,1,,,"bad"
"Trevor Ariza","University of California, Los Angeles","/players/a/arizatr01.html",1,19,2004,2,43,2003,35,1,1,1,1,1,9,,,,1,"great"
"James Lang","","/players/l/langja01.html",0,20,2003,2,48,2003,,1,1,2,1,0,0,,,,,"rookie"
"Drew Lavender","Xavier University","https://www.sports-reference.com/cbb/players/drew-lavender-1.html",0,21,,,,2003,,1,1,0,,,,,,,,"college"
"Dion Harris","University of Michigan","https://www.sports-reference.com/cbb/players/dion-harris-1.html",0,22,,,,2003,,1,1,0,,,,,,,,"college"
"Brandon Cotton","University of Detroit Mercy","https://www.sports-reference.com/cbb/players/brandon-cotton-1.html",0,23,,,,2003,,1,1,0,,,,,,,,"college"
"Regis Koundjia","George Washington University","https://www.sports-reference.com/cbb/players/regis-koundjia-1.html",0,24,,,,2003,,1,1,0,,,,,,,,"college"
"Mustafa Shakur","University of Arizona","/players/s/shakumu01.html",1,25,,,,2003,,1,1,0,,,0,,,,,"college"
"Ivan Harris","Ohio State University","https://www.sports-reference.com/cbb/players/ivan-harris-1.html",1,26,,,,2003,,1,1,0,,,,,,,,"college"
"Ekene Ibekwe","University of Maryland","https://www.sports-reference.com/cbb/players/ekene-ibekwe-1.html",0,27,,,,2003,,1,1,0,,,,,,,,"college"
"Rich McBride","University of Illinois at Urbana-Champaign","https://www.sports-reference.com/cbb/players/rich-mcbride-1.html",0,28,,,,2003,,1,1,0,,,,,,,,"college"
"Chris Taft","University of Pittsburgh","/players/t/taftch01.html",0,29,2005,2,42,2003,,1,1,1,1,0,0,,,,,"rookie"
"Jackie Butler","","/players/b/butleja01.html",0,30,,,,2003,,1,1,0,,,0,,,,,"college"
"Demetris Nichols","Syracuse University","/players/n/nichode01.html",1,31,2007,2,53,2003,,1,1,1,1,1,0,,1,,,"bad"
"Aaron Brooks","University of Oregon","/players/b/brookaa01.html",0,32,2007,1,26,2003,123.375,1,1,1,1,1,4,,1,,,"bad"
"Sean Banks","University of Memphis","https://www.sports-reference.com/cbb/players/sean-banks-1.html",1,33,,,,2003,,1,1,0,,,,,,,,"college"
"Darryl Watkins","Syracuse University","/players/w/watkida01.html",1,34,,,,2003,,1,1,0,,,0,,,,,"college"
"Ayinde Ubaka","University of California","https://www.sports-reference.com/cbb/players/ayinde-ubaka-1.html",0,35,,,,2003,,1,1,0,,,,,,,,"college"
"Rodrick Stewart","University of Kansas","https://www.sports-reference.com/cbb/players/rodrick-stewart-1.html",1,36,,,,2003,,1,1,0,,,,,,,,"college"
"Tack Minor","Louisiana State University","https://www.sports-reference.com/cbb/players/tack-minor-1.html",0,37,,,,2003,,1,1,0,,,,,,,,"college"
"Thomas Gardner","University of Missouri","/players/g/gardnth01.html",0,38,,,,2003,,1,1,0,,,0,,,,,"college"
"Gary Forbes","University of Massachusetts Amherst","/players/f/forbega01.html",0,39,,,,2003,,1,1,0,,,0,,,,,"college"
"Ronnie Brewer","University of Arkansas","/players/b/brewero02.html",0,39,2006,1,14,2003,73.9,1,1,1,1,1,5,,,1,,"good"
"Marcus Williams","University of Connecticut","/players/w/willima03.html",1,41,2006,1,22,2003,,1,1,1,1,1,0,,1,,,"bad"
"Terrence Roberts","Syracuse University","https://www.sports-reference.com/cbb/players/terrence-roberts-1.html",1,42,,,,2003,,1,1,0,,,,,,,,"college"
"Chris Richard","University of Florida","/players/r/richach01.html",1,43,2007,2,41,2003,,1,1,1,1,1,0,,1,,,"bad"
"Martin Iti","New Mexico State University","https://www.sports-reference.com/cbb/players/martin-iti-1.html",0,44,,,,2003,,1,1,0,,,,,,,,"college"
"Will Sheridan","Villanova University","https://www.sports-reference.com/cbb/players/will-sheridan-1.html",1,45,,,,2003,,1,1,0,,,,,,,,"college"
"Mohamed Abukar","San Diego State University","https://www.sports-reference.com/cbb/players/mohamed-abukar-1.html",0,46,,,,2003,,1,1,0,,,,,,,,"college"
"Brandon Jenkins","University of Louisville","https://www.sports-reference.com/cbb/players/brandon-jenkins-1.html",1,47,,,,2003,,1,1,0,,,,,,,,"college"
"Shagari Alleyne","University of Kentucky","https://www.sports-reference.com/cbb/players/shagari-alleyne-1.html",1,48,,,,2003,,1,1,0,,,,,,,,"college"
"Drew Naymick","Michigan State University","https://www.sports-reference.com/cbb/players/drew-naymick-1.html",1,51,,,,2003,,1,1,0,,,,,,,,"college"
"Courtney Sims","University of Michigan","/players/s/simsco01.html",0,52,,,,2003,,1,1,0,,,0,,,,,"college"
"Brian Randle","University of Illinois at Urbana-Champaign","https://www.sports-reference.com/cbb/players/brian-randle-1.html",0,53,,,,2003,,1,1,0,,,,,,,,"college"
"Cartier Martin","Kansas State University","/players/m/martica01.html",0,54,,,,2003,,1,1,0,,,0,,,,,"college"
"Omar Wilkes","University of California","https://www.sports-reference.com/cbb/players/omar-wilkes-1.html",0,55,,,,2003,,1,1,0,,,,,,,,"college"
"Lodrick Stewart","University of Southern California","https://www.sports-reference.com/cbb/players/lodrick-stewart-1.html",1,56,,,,2003,,1,1,0,,,,,,,,"college"
"Brandon Foust","Southeast Missouri State University","https://www.sports-reference.com/cbb/players/brandon-foust-1.html",0,57,,,,2003,,1,1,0,,,,,,,,"college"
"Corey Gibbs","University of Georgia","https://www.sports-reference.com/cbb/players/corey-gibbs-1.html",0,58,,,,2003,,1,1,0,,,,,,,,"college"
"Major Wingate","University of Tennessee","https://www.sports-reference.com/cbb/players/major-wingate-1.html",1,59,,,,2003,,1,1,0,,,,,,,,"college"
"Reyshawn Terry","University of North Carolina","https://www.sports-reference.com/cbb/players/reyshawn-terry-1.html",1,60,2007,,,2003,,1,1,1,0,,,,,,,"draft"
"J.R. Reynolds","University of Virginia","https://www.sports-reference.com/cbb/players/jr-reynolds-2.html",0,61,,,,2003,,1,1,0,,,,,,,,"college"
