School.Name,School.State.Abbreviation,limits,length,inches
LYNNFIELD HIGH,MA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
LYNNFIELD HIGH,MA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
LAPINE SENIOR HIGH SCHOOL,OR,skirts,shorter than mid-thigh,
LAPINE SENIOR HIGH SCHOOL,OR,shorts,shorter than x inch inseam,4
MAHOPAC HIGH SCHOOL,NY,dresses,shorter than fingertips,
MAHOPAC HIGH SCHOOL,NY,skirts,shorter than fingertips,
MAHOPAC HIGH SCHOOL,NY,shorts,shorter than fingertips,
NORTHLAND PINES HIGH,WI,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
BRADFORD AREA HS,PA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
BRADFORD AREA HS,PA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
SAUK RAPIDS-RICE SENIOR HIGH,MN,dresses,shorter than fingertips,
SAUK RAPIDS-RICE SENIOR HIGH,MN,skirts,shorter than fingertips,
SAUK RAPIDS-RICE SENIOR HIGH,MN,shorts,shorter than fingertips,
SALINA HS,OK,dresses,shorter than mid-thigh,
SALINA HS,OK,skirts,shorter than mid-thigh,
SALINA HS,OK,shorts,shorter than mid-thigh,
GENEVA HIGH SCH,AL,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
GENEVA HIGH SCH,AL,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
GENEVA HIGH SCH,AL,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
HOLCOMB HIGH,KS,dresses,shorter than fingertips,
HOLCOMB HIGH,KS,skirts,shorter than fingertips,
HOLCOMB HIGH,KS,shorts,shorter than fingertips,
MARINER HIGH SCHOOL,FL,dresses,shorter than the knee,
MARINER HIGH SCHOOL,FL,pants,shorter than the knee,
MARINER HIGH SCHOOL,FL,skirts,shorter than the knee,
MARINER HIGH SCHOOL,FL,shorts,shorter than the knee,
PINE ISLAND SECONDARY,MN,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
ALTA LOMA HIGH,CA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
PLEVNA HIGH SCHOOL,MT,skirts,shorter than mid-thigh,
PLEVNA HIGH SCHOOL,MT,shorts,shorter than mid-thigh,
UNIVERSITY CITY HIGH,CA,dresses,shorter than fingertips,
UNIVERSITY CITY HIGH,CA,skirts,shorter than fingertips,
UNIVERSITY CITY HIGH,CA,shorts,shorter than fingertips,
HENDERSON H S,TX,dresses,shorter than x inches from knee,3
HENDERSON H S,TX,skirts,shorter than x inches from knee,3
HENDERSON H S,TX,shorts,shorter than x inches from knee,3
SHELBY HIGH SCHOOL,MT,skirts,shorter than fingertips,
SHELBY HIGH SCHOOL,MT,shorts,shorter than fingertips,
HUDSON'S BAY HIGH SCHOOL,WA,skirts,shorter than fingertips,
HUDSON'S BAY HIGH SCHOOL,WA,shorts,shorter than fingertips,
VAN HORN HIGH,MO,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
VAN HORN HIGH,MO,pants,"""short""/""inappropriate length"" (no exact measurement given)",
VAN HORN HIGH,MO,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
VAN HORN HIGH,MO,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
LOOKEBA-SICKLES HS,OK,dresses,shorter than fingertips,
LOOKEBA-SICKLES HS,OK,skirts,shorter than fingertips,
LOOKEBA-SICKLES HS,OK,shorts,shorter than fingertips,
LOOKEBA-SICKLES HS,OK,skorts,shorter than fingertips,
MARLIN H S,TX,dresses,shorter than x inches from knee,4
MARLIN H S,TX,skirts,shorter than x inches from knee,4
MARLIN H S,TX,shorts,shorter than x inches from knee,4
HARDIN-JEFFERSON H S,TX,dresses,"shorter than the knee, ""short""/""inappropriate length"" (no exact measurement given)",
HARDIN-JEFFERSON H S,TX,skirts,"shorter than the knee, ""short""/""inappropriate length"" (no exact measurement given)",
HARDIN-JEFFERSON H S,TX,shorts,"shorter than the knee, ""short""/""inappropriate length"" (no exact measurement given)",
MENOMONIE HIGH,WI,skirts,shorter than mid-thigh,
MENOMONIE HIGH,WI,shorts,shorter than mid-thigh,
NEW PRAGUE SENIOR HIGH,MN,skirts,shorter than mid-thigh,
NEW PRAGUE SENIOR HIGH,MN,shorts,shorter than mid-thigh,
SEQUOYAH HS,OK,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
SEQUOYAH HS,OK,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
